,VendorID,pickup_date,pickup_time,drop_date,drop_time,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type ,pickup_time_hour,drop_time_hour,pickup_location,drop_location
401,2,1/1/16,6:05,1/1/16,6:17,N,1,-73.95098114,40.81028748,-73.92517853,40.86153412,1,4.65,16.0,0.0,0.5,0.0,0.0,,0.3,16.8,2,1,6,6,Manhattan,Manhattan
402,2,1/1/16,18:37,1/1/16,18:43,N,1,-73.95953369,40.71622849,-73.93991089,40.72603989,1,1.29,6.5,0.0,0.5,1.46,0.0,,0.3,8.76,1,1,18,18,Brooklyn,Brooklyn
403,2,1/1/16,3:06,1/1/16,3:19,N,1,-73.90006256,40.8493309,-73.94958496,40.83110809,1,5.28,17.0,0.5,0.5,1.0,0.0,,0.3,19.3,1,1,3,3,Bronx,Manhattan
404,2,1/1/16,4:35,1/1/16,4:42,N,1,-73.83155823,40.71504593,-73.79691315,40.73113632,1,2.63,9.5,0.5,0.5,0.0,0.0,,0.3,10.8,1,1,4,4,Queens,Queens
405,2,1/1/16,6:16,1/1/16,6:44,N,1,-73.93759155,40.69826889,-73.94837189,40.800586700000004,1,10.49,32.5,0.5,0.5,0.0,0.0,,0.3,33.8,1,1,6,6,Brooklyn,Manhattan
406,1,1/1/16,23:35,1/1/16,23:42,N,1,-73.95261383,40.7231636,-73.96574402,40.71283722,1,1.2,7.0,0.5,0.5,1.65,0.0,,0.3,9.95,1,1,23,23,Brooklyn,Brooklyn
407,2,1/1/16,22:27,1/1/16,22:30,N,1,-73.98769379,40.67147064,-73.9808197,40.66783142,1,0.5,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,2,1,22,22,Kings County,Brooklyn
408,1,1/1/16,20:40,1/1/16,20:45,N,1,-73.95255279999999,40.80835342,-73.9437561,40.82185745,2,1.1,5.5,0.5,0.5,1.0,0.0,,0.3,7.8,1,1,20,20,Upper Manhattan,Manhattan
409,2,1/1/16,10:25,1/1/16,10:28,N,1,-73.97275543,40.68562698,-73.96525574,40.68555832,1,0.63,4.5,0.0,0.5,1.32,0.0,,0.3,6.62,1,1,10,10,Brooklyn,Brooklyn
410,1,1/1/16,15:45,1/1/16,15:55,N,1,-73.88491058,40.75187302,-73.92237854,40.75293732,1,2.0,9.5,0.0,0.5,0.0,0.0,,0.3,10.3,2,1,15,15,Queens,Queens
411,1,1/1/16,2:10,1/1/16,2:14,N,1,-73.97537231,40.67467499,-73.96243286,40.67544937,1,1.0,5.0,0.5,0.5,1.25,0.0,,0.3,7.55,1,1,2,2,Brooklyn,Brooklyn
