,Unnamed: 0,VendorID,pickup_date,pickup_time,drop_date,drop_time,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type ,pickup_time_hour,drop_time_hour,pickup_location
803,53902,2,1/1/16,19:50,1/1/16,19:54,N,1,-73.97184753,40.67247391,-73.98365784,40.66784668,1,0.93,5.0,0.0,0.5,1.45,0.0,,0.3,7.25,1,1.0,19,19,Brooklyn
804,52689,2,1/1/16,19:14,1/1/16,19:17,N,1,-73.83050537,40.70886612,-73.83113861,40.70269394,1,0.54,4.0,0.0,0.5,0.96,0.0,,0.3,5.76,1,1.0,19,19,Queens
805,36148,1,1/1/16,7:07,1/1/16,7:17,N,1,-73.88293457,40.75585938,-73.85769653,40.73988724,1,2.2,9.5,0.0,0.5,0.0,0.0,,0.3,10.3,2,1.0,7,7,Queens
806,45697,1,1/1/16,15:01,1/1/16,15:07,N,1,-73.9495163,40.80213547,-73.93908691,40.80220413,1,0.8,6.0,0.0,0.5,2.0,0.0,,0.3,8.8,1,1.0,15,15,Manhattan
807,26652,2,1/1/16,4:27,1/1/16,4:32,N,1,-73.94054413,40.81389618,-73.93874359,40.82569885,6,1.1,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2,1.0,4,4,Manhattan
808,42391,2,1/1/16,14:20,1/1/16,14:25,N,1,-73.87499237,40.74845886,-73.86668396,40.74188995,1,0.89,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,2,1.0,14,14,Queens
809,15916,2,1/1/16,2:38,1/1/16,2:45,N,1,-73.84421539,40.72139359,-73.86649323,40.70316696,1,1.91,8.0,0.5,0.5,2.32,0.0,,0.3,11.62,1,1.0,2,2,Queens
810,41756,2,1/1/16,13:55,1/1/16,14:14,N,1,-73.9067688,40.74541855,-73.99227142,40.72677994,1,6.43,20.5,0.0,0.5,5.32,0.0,,0.3,26.62,1,1.0,13,14,Queens
811,15884,2,1/1/16,2:28,1/1/16,2:44,N,1,-73.91750336,40.74289322,-73.87613678,40.76220322,1,4.17,16.0,0.5,0.5,0.0,0.0,,0.3,17.3,2,1.0,2,2,Queens
812,23208,2,1/1/16,3:44,1/1/16,4:01,N,1,-73.94255066,40.79459381,-73.89898682,40.84530258,1,6.07,19.5,0.5,0.5,4.16,0.0,,0.3,24.96,1,1.0,3,4,Manhattan
813,775,2,1/1/16,0:30,1/1/16,0:48,N,1,-73.95829773,40.81069183,-73.9728775,40.76454926,1,4.03,16.0,0.5,0.5,0.0,0.0,,0.3,17.3,2,1.0,0,0,Manhattan
814,17409,2,1/1/16,2:44,1/1/16,3:00,N,1,-73.97863007,40.68455124,-73.90721893,40.67020798,1,4.33,15.5,0.5,0.5,0.0,0.0,,0.3,16.8,2,1.0,2,3,Brooklyn
815,43668,1,1/1/16,14:12,1/1/16,14:19,N,1,-73.91069794,40.76875687,-73.87223816,40.77459335,1,2.5,9.0,0.0,0.5,1.95,0.0,,0.3,11.75,1,1.0,14,14,Queens
816,48792,2,1/1/16,17:47,1/1/16,17:49,N,1,-73.94316864,40.79935837,-73.94097137,40.8067627,1,0.57,4.0,0.0,0.5,0.0,0.0,,0.3,4.8,2,1.0,17,17,Manhattan
817,638,2,1/1/16,0:28,1/1/16,0:46,N,1,-73.99419403,40.70314407,-73.9720459,40.76549911,1,7.61,23.5,0.5,0.5,0.0,0.0,,0.3,24.8,2,1.0,0,0,Brooklyn
818,26872,2,1/1/16,4:26,1/1/16,4:36,N,1,-73.94445038,40.72038651,-73.93477631,40.70329666,1,2.31,10.0,0.5,0.5,2.82,0.0,,0.3,14.12,1,1.0,4,4,New York
